lg	map	group	left	center	right	locus	max_lod	famID	r2	mu	alpha	gamma	trait	env	year
3	DP	3_DP	86.03	114.364	114.364	DP_Chr03_5067480	3.38	WGN26	10.5	8.485635	NA	0.246395	seed_area	tli	2017
4	DP	4_DP	69.614	88.635	92.064	DP_Chr04_189825325	8.61	combined	NA	NA	NA	NA	seed_area	tli	2017
4	DP	4_DP	149.549	195.544	195.544	DP_Chr04_260663237	3.86	WGN36	13.8	8.05366	NA	0.23242	seed_area	tli	2017
5	CP	5_CP	76.925	83.767	84.703	CP_Chr05_70540860	15.44	combined	NA	NA	NA	NA	seed_area	tli	2017
5	DP	5_DP	141.793	0	0	DP_Chr05_339720810	3.92	WGN36	16	8.062455	NA	0.252095	seed_area	tli	2017
5	CP	5_CP	61.809	83.363	83.363	CP_Chr05_86148562	3.99	WGN38	16.7	7.81387	-0.26533	NA	seed_area	tli	2017
5	CP	5_CP	66.809	83.363	105.39	CP_Chr05_86148562	3.49	WGN63	11.9	8.738335	0.248075	NA	seed_area	tli	2017
8	DP	8_DP	29.364	54.22	57.22	DP_Chr08_328428960	4.15	WGN46	14	7.483295	NA	0.205035	seed_area	tli	2017
16	CP	16_CP	86.86	50.521	50.521	CP_Chr16_323227710	3.52	WGN15	11.1	8.08707	-0.1885	NA	seed_area	tli	2017
17	CP	17_CP	73.012	76.767	86.723	CP_Chr17_86643325	3.86	WGN46	13.1	7.486955	-0.198365	NA	seed_area	tli	2017
